"AB_ZEIT";"AN_ZEIT";"AB_HST_NAME";"AN_HST_NAME";"TRANSPORTMITTEL";"LINIE"
"19:48 (71280)";"19:49 (71340)";"Dresden Malterstraﬂe";"Dresden Koblenzer Straﬂe";"TRAM";"6"
"19:49 (71340)";"19:50 (71400)";"Dresden Koblenzer Straﬂe";"Dresden Julius-Vahlteich-Str.";"TRAM";"6"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"19:52 (71520)";"19:53 (71580)";"Dresden Wˆlfnitz";"Dresden Koblenzer Straﬂe";"TRAM";"6"
"Next";"Trip";"";"";"Taking:";"0:30 (1800)"
"19:53 (71580)";"19:54 (71640)";"Dresden Koblenzer Straﬂe";"Dresden Malterstraﬂe";"TRAM";"6"
"19:54 (71640)";"19:56 (71760)";"Dresden Malterstraﬂe";"Dresden B¸naustraﬂe";"TRAM";"6"
"19:56 (71760)";"19:57 (71820)";"Dresden B¸naustraﬂe";"Dresden Tharandter Straﬂe";"TRAM";"6"
"19:57 (71820)";"19:59 (71940)";"Dresden Tharandter Straﬂe";"Dresden Wernerstraﬂe";"TRAM";"6"
"19:59 (71940)";"20:00 (72000)";"Dresden Wernerstraﬂe";"Dresden Cottaer Straﬂe";"TRAM";"6"
"20:00 (72000)";"20:01 (72060)";"Dresden Cottaer Straﬂe";"Dresden Sch‰ferstraﬂe";"TRAM";"6"
"20:01 (72060)";"20:03 (72180)";"Dresden Sch‰ferstraﬂe";"Dresden Bahnhof Mitte";"TRAM";"6"
"20:04 (72240)";"20:05 (72300)";"Dresden Bahnhof Mitte";"DD Kongresszentrum/H d Presse";"TRAM";"6"
"20:05 (72300)";"20:07 (72420)";"DD Kongresszentrum/H d Presse";"Dresden Anton-/Leipziger Str.";"TRAM";"6"
"20:12 (72720)";"20:14 (72840)";"Dresden Anton-/Leipziger Str.";"Dresden Alter Schlachthof";"TRAM";"4"
"20:14 (72840)";"20:15 (72900)";"Dresden Alter Schlachthof";"Dresden Alexander-Puschkin-Pl";"TRAM";"4"
"20:15 (72900)";"20:16 (72960)";"Dresden Alexander-Puschkin-Pl";"Dresden Oschatzer Straﬂe";"TRAM";"4"
"20:16 (72960)";"20:18 (73080)";"Dresden Oschatzer Straﬂe";"Dresden Altpieschen";"TRAM";"4"
"20:18 (73080)";"20:19 (73140)";"Dresden Altpieschen";"Dresden Mickten";"TRAM";"4"
"20:19 (73140)";"20:20 (73200)";"Dresden Mickten";"Dresden Alttrachau";"TRAM";"4"
"20:20 (73200)";"20:21 (73260)";"Dresden Alttrachau";"Dresden Rankestraﬂe";"TRAM";"4"
"20:21 (73260)";"20:22 (73320)";"Dresden Rankestraﬂe";"Dresden Geblerstraﬂe";"TRAM";"4"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"20:56 (75360)";"20:59 (75540)";"Weinbˆhla Kˆhlerstraﬂe";"Weinbˆhla (Rathausstraﬂe)";"TRAM";"4"
"Next";"Trip";"";"";"Taking:";"0:29 (1740)"
"21:07 (76020)";"21:09 (76140)";"Weinbˆhla (Rathausstraﬂe)";"Weinbˆhla Kˆhlerstraﬂe";"TRAM";"4"
"21:09 (76140)";"21:11 (76260)";"Weinbˆhla Kˆhlerstraﬂe";"Coswig Steinbacher Weg";"TRAM";"4"
"21:11 (76260)";"21:12 (76320)";"Coswig Steinbacher Weg";"Coswig Auerstraﬂe";"TRAM";"4"
"21:12 (76320)";"21:13 (76380)";"Coswig Auerstraﬂe";"Coswig Salzstraﬂe (Strab)";"TRAM";"4"
"21:13 (76380)";"21:15 (76500)";"Coswig Salzstraﬂe (Strab)";"Coswig Rathaus";"TRAM";"4"
"21:15 (76500)";"21:16 (76560)";"Coswig Rathaus";"Coswig Zentrum/ Bˆrse";"TRAM";"4"
"21:16 (76560)";"21:18 (76680)";"Coswig Zentrum/ Bˆrse";"Coswig Radebeuler Straﬂe";"TRAM";"4"
"21:18 (76680)";"21:19 (76740)";"Coswig Radebeuler Straﬂe";"Radebeul Eisenbahnbr¸cke";"TRAM";"4"
"21:19 (76740)";"21:21 (76860)";"Radebeul Eisenbahnbr¸cke";"Radebeul Gerhart-Hauptmann-Str";"TRAM";"4"
"21:21 (76860)";"21:23 (76980)";"Radebeul Gerhart-Hauptmann-Str";"Radebeul Johannisbergstraﬂe";"TRAM";"4"
"21:23 (76980)";"21:24 (77040)";"Radebeul Johannisbergstraﬂe";"Radebeul Schloss Wackerbarth";"TRAM";"4"
"21:24 (77040)";"21:25 (77100)";"Radebeul Schloss Wackerbarth";"Radebeul West (Flemmingstraﬂe)";"TRAM";"4"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"21:39 (77940)";"21:40 (78000)";"Radebeul West (Flemmingstraﬂe)";"Radebeul West (Flemmingstraﬂe)";"TRAM";"4"
"Next";"Trip";"";"";"Taking:";"0:15 (900)"
"21:40 (78000)";"21:41 (78060)";"Radebeul West (Flemmingstraﬂe)";"Radebeul Moritzburger Straﬂe";"TRAM";"4"
"21:41 (78060)";"21:42 (78120)";"Radebeul Moritzburger Straﬂe";"Radebeul Gradsteg";"TRAM";"4"
"21:42 (78120)";"21:43 (78180)";"Radebeul Gradsteg";"Radebeul Borstraﬂe";"TRAM";"4"
"21:43 (78180)";"21:44 (78240)";"Radebeul Borstraﬂe";"Radebeul Dr.-K¸lz-Straﬂe";"TRAM";"4"
"21:44 (78240)";"21:45 (78300)";"Radebeul Dr.-K¸lz-Straﬂe";"Radebeul Zillerstraﬂe";"TRAM";"4"
"21:45 (78300)";"21:47 (78420)";"Radebeul Zillerstraﬂe";"Radebeul Landesb¸hnen Sachsen";"TRAM";"4"
"21:47 (78420)";"21:48 (78480)";"Radebeul Landesb¸hnen Sachsen";"Radebeul Wasastraﬂe";"TRAM";"4"
"21:48 (78480)";"21:49 (78540)";"Radebeul Wasastraﬂe";"Radebeul Schildenstraﬂe";"TRAM";"4"
"21:49 (78540)";"21:51 (78660)";"Radebeul Schildenstraﬂe";"Radebeul Hauptstraﬂe";"TRAM";"4"
"21:51 (78660)";"21:52 (78720)";"Radebeul Hauptstraﬂe";"Radebeul Zinzendorfstraﬂe";"TRAM";"4"
"21:52 (78720)";"21:54 (78840)";"Radebeul Zinzendorfstraﬂe";"Radebeul Forststraﬂe";"TRAM";"4"
